index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-0437.smt2,,,3,3,8,1,4,14,,12,6,5,8,,,25.08,9.69,sat,0.04,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.01,,0.01,0.00,0.00,
chc-lia-0438.smt2,,,,1,2,,2,1,,3,2,1,1,,,16.56,6.13,sat,0.01,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-0439.smt2,,,4,4,4,4,5,10,,15,7,1,14,3,3,19.00,7.49,sat,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00
chc-lia-0440.smt2,,,4,4,14,3,,14,,18,12,,17,4,1,43.36,11.86,unsat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.00
chc-lia-lin-0000.smt2,,,,1,3,,3,2,,4,3,2,2,,,16.96,6.17,sat,0.01,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-lin-0001.smt2,,,,1,2,,2,1,,3,2,1,1,,,16.60,6.13,sat,0.01,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,
chc-lia-lin-0002.smt2,,,,2,3,,3,3,,6,3,1,3,,,17.20,6.31,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-lin-0003.smt2,,,3,3,3,2,4,6,,10,5,1,7,1,1,17.80,6.69,sat,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-lin-0004.smt2,,,4,4,4,5,5,10,,15,6,1,11,1,1,18.16,6.90,sat,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00
chc-lia-lin-0005.smt2,,6,13,13,302,656,357,5208,,1101,580,3516,1333,196,196,870.44,523.69,sat,150.83,143.03,62.36,23.97,1.02,0.00,0.00,0.30,147.49,46.16,,101.28,2.01,53.33,4.55
chc-lia-lin-0006.smt2,,,1,1,1,,1,,,1,1,,,,,12.16,4.83,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0007.smt2,,,25,25,231,1366,121,2956,14,898,227,1145,880,,,252.84,159.72,sat,9.08,7.63,3.93,,0.12,0.00,0.00,0.17,8.87,1.84,,6.93,0.49,2.89,
chc-lia-lin-0008.smt2,,,,127,133,8124,5,8285,,8262,134,30,8134,,,,134.78,timeout,593.59,556.31,352.99,,0.69,0.00,0.00,2.95,575.03,1.58,,573.04,9.53,322.94,
